                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.12533,                0.88914,                0.90222,                0.40862,                0.32411,                0.23987,                0.19149,                 1.0932,                 2.9839,                 1.2402,             0.00051988,             0.00051988,             0.00051988
                     61,                0.12409,                0.98432,                0.91895,                0.21405,                    0.5,                0.36654,                0.35385,                0.32531,                 1.8955,                 0.4176,              0.0005075,              0.0005075,              0.0005075
                     62,                0.11502,                0.94283,                0.91539,                0.33211,                0.77975,                0.46773,                 0.4632,                0.41346,                 1.7136,                0.52889,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.1319,                 0.9785,                 0.9196,                0.21671,                0.84485,                0.37445,                0.37153,                0.38183,                 1.7795,                0.51686,             0.00048275,             0.00048275,             0.00048275
                     64,                0.12124,                 1.0619,                0.93549,                0.28978,                  0.825,                 0.4339,                0.43088,                0.40116,                 1.6805,                0.55132,             0.00047038,             0.00047038,             0.00047038
                     65,                0.11468,                 0.8626,                0.89405,                0.26921,                0.89317,                0.60557,                0.59846,                0.24846,                 1.4553,                0.34649,               0.000458,               0.000458,               0.000458
                     66,                0.10882,                0.87847,                0.89707,                0.21953,                   0.75,                0.45478,                0.43455,                0.22868,                 1.6643,                 0.3427,             0.00044563,             0.00044563,             0.00044563
                     67,                0.11249,                 1.0826,                0.90255,                0.22092,                      1,                0.29667,                0.29334,                0.25323,                 1.9227,                0.39141,             0.00043325,             0.00043325,             0.00043325
                     68,                0.09515,                0.95009,                0.85962,                0.16675,                      1,                0.30733,                0.29738,                0.32452,                  1.771,                0.49808,             0.00042087,             0.00042087,             0.00042087
                     69,                0.11558,                0.93213,                0.92591,                0.21778,                0.75408,                0.42448,                0.41874,                0.36108,                 1.8547,                0.54512,              0.0004085,              0.0004085,              0.0004085
                     70,                0.16356,                0.92556,                0.96878,                0.19139,                      1,                0.31886,                0.31612,                0.29741,                 2.1309,                0.46416,             0.00039613,             0.00039613,             0.00039613
                     71,                0.10858,                  1.092,                0.93819,                0.25281,                0.84908,                0.40167,                0.39675,                0.26541,                  2.052,                0.41079,             0.00038375,             0.00038375,             0.00038375
                     72,                0.10589,                 0.8371,                0.88617,                0.50139,                  0.725,                0.57464,                0.55916,                0.28108,                 1.5874,                 0.4167,             0.00037138,             0.00037138,             0.00037138
                     73,                0.10255,                0.84862,                0.88102,                0.46543,                0.78064,                 0.5256,                0.50432,                0.30294,                 1.7627,                0.44552,               0.000359,               0.000359,               0.000359
                     74,                0.11367,                 1.1685,                0.93029,                0.30271,                    0.7,                0.42928,                0.42083,                0.24539,                 2.6873,                0.38656,             0.00034663,             0.00034663,             0.00034663
                     75,                0.10364,                0.81306,                0.91885,                0.23531,                  0.687,                0.57382,                0.56867,                0.25014,                 3.2917,                 0.4105,             0.00033425,             0.00033425,             0.00033425
                     76,                0.10391,                0.77225,                0.87909,                0.32581,                0.68735,                0.56347,                0.56347,                 0.1896,                 2.5603,                0.31193,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.1137,                0.76605,                0.91412,                0.26057,                0.89472,                0.35556,                0.35184,                0.15353,                 1.6481,                0.24649,              0.0003095,              0.0003095,              0.0003095
                     78,                0.10071,                  0.837,                0.88099,                0.28724,                      1,                0.35717,                0.35717,                0.15679,                 1.4703,                0.24773,             0.00029713,             0.00029713,             0.00029713
                     79,                0.09721,                0.85557,                0.93623,                0.23982,                      1,                0.31969,                0.31969,                0.12452,                 1.4923,                0.20811,             0.00028475,             0.00028475,             0.00028475
                     80,                0.08926,                0.70062,                0.89592,                 0.2271,                      1,                0.30008,                0.30008,                0.11682,                 1.7101,                0.19947,             0.00027237,             0.00027237,             0.00027237
                     81,                0.09449,                0.74081,                0.89114,                   0.25,                      1,                0.30541,                0.30541,                0.12159,                 1.7726,                0.20278,                0.00026,                0.00026,                0.00026
                     82,                0.08179,                0.84483,                0.89074,                0.21661,                      1,                0.35378,                0.35378,                0.12096,                 1.8724,                0.20503,             0.00024762,             0.00024762,             0.00024762
                     83,                0.07735,                0.79338,                0.89743,                0.48605,                  0.625,                0.31232,                0.31232,                0.13478,                 1.8027,                0.21776,             0.00023525,             0.00023525,             0.00023525
                     84,                0.08537,                0.83321,                0.87502,                0.20548,                0.68805,                0.33674,                0.33674,                0.13623,                 1.6861,                0.21682,             0.00022288,             0.00022288,             0.00022288
                     85,                0.10162,                 0.8687,                0.93322,                 0.2751,                      1,                0.39433,                0.39433,                0.12671,                 1.6101,                0.20387,              0.0002105,              0.0002105,              0.0002105
                     86,                0.08246,                 0.7084,                0.91022,                 0.2809,                  0.625,                0.42866,                0.42866,                0.10709,                 1.5615,                0.17942,             0.00019813,             0.00019813,             0.00019813
                     87,                0.11274,                 1.0013,                0.92207,                 0.2798,                  0.625,                0.44987,                0.44987,                0.09954,                 1.6199,                 0.1708,             0.00018575,             0.00018575,             0.00018575
                     88,                0.07399,                0.72658,                0.90524,                0.23925,                0.55707,                0.46997,                0.46997,                0.09859,                 1.6955,                0.16698,             0.00017338,             0.00017338,             0.00017338
                     89,                0.07505,                0.67284,                0.87738,                0.31098,                  0.875,                0.43663,                0.43663,                0.09846,                 1.6101,                0.17113,               0.000161,               0.000161,               0.000161
                     90,                0.08508,                0.74956,                0.90356,                0.29952,                0.75573,                0.38812,                0.38812,                0.10153,                 1.6189,                 0.1728,             0.00014862,             0.00014862,             0.00014862
                     91,                0.07297,                0.83915,                 0.9281,                0.25248,                0.74713,                0.41064,                0.41064,                0.09303,                 1.5515,                 0.1642,             0.00013625,             0.00013625,             0.00013625
                     92,                0.06569,                0.68103,                0.90793,                0.30351,                      1,                0.45544,                0.45544,                0.09397,                 1.4522,                0.16342,             0.00012387,             0.00012387,             0.00012387
                     93,                0.06557,                0.54091,                0.87666,                0.21881,                  0.625,                0.46308,                0.46308,                0.10235,                 1.4089,                0.17508,              0.0001115,              0.0001115,              0.0001115
                     94,                0.05908,                0.43898,                0.90801,                 0.3342,                0.90049,                0.45277,                0.45277,                0.11257,                 1.2992,                0.18834,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.14487,                0.60908,                 1.1053,                0.36368,                      1,                 0.4812,                 0.4812,                 0.1232,                 1.4426,                0.20163,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.06574,                0.58222,                0.90948,                0.37857,                0.97549,                 0.4687,                 0.4687,                0.13274,                 1.5718,                0.21373,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.05429,                 0.7212,                0.94467,                0.37493,                0.96661,                 0.4687,                 0.4687,                0.12184,                 1.6086,                0.19787,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.05761,                 1.0678,                 0.8732,                 0.3534,                0.87124,                 0.4937,                 0.4937,                0.11105,                 1.5995,                0.18156,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.05104,                0.38698,                0.91536,                0.35272,                0.84943,                0.50607,                0.50607,                0.10803,                  1.592,                 0.1776,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.05631,                0.37681,                 0.8504,                0.36477,                0.85417,                0.49719,                0.49719,                0.10841,                 1.5535,                0.17833,             2.4875e-05,             2.4875e-05,             2.4875e-05
