                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3619,                 3.8385,                 1.7403,                0.00052,                   0.25,                0.01777,                0.00178,                 2.2059,                 5.2574,                 1.9284,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.1258,                 3.7203,                 1.5876,                0.05765,                   0.75,                0.17674,                0.06847,                 1.1385,                 4.5979,                 1.3528,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                0.78878,                 2.9311,                 1.3737,                0.21661,                    0.4,                0.24786,                 0.1981,                0.80378,                 7.2282,                 1.0665,             0.00013478,             0.00013478,             0.00013478
                      4,                 0.3083,                 1.8807,                 1.0769,                0.64415,                   0.15,                0.11395,                0.08306,                 2.6899,                 4.7081,                 2.3875,             0.00018193,             0.00018193,             0.00018193
                      5,                 0.1961,                 1.6268,                0.99236,                0.43031,                0.13273,                0.14075,                0.10265,                 2.2731,                 3.9036,                 2.1033,             0.00022809,             0.00022809,             0.00022809
                      6,                0.19695,                 1.6088,                0.99733,                0.22365,                0.36682,                0.35158,                 0.3332,                0.94422,                 20.894,                 1.1623,             0.00027327,             0.00027327,             0.00027327
                      7,                0.17866,                 1.4339,                0.96593,                0.16689,                  0.625,                0.26217,                0.25168,                0.45337,                 2.7772,                0.76746,             0.00031745,             0.00031745,             0.00031745
                      8,                 0.2374,                 1.4388,                 1.0516,                0.44857,                   0.75,                0.31923,                0.23414,                 1.1967,                 2.7575,                 1.3692,             0.00036065,             0.00036065,             0.00036065
                      9,                0.20454,                 1.2647,                0.96373,                0.27698,                   0.15,                0.03323,                0.01668,                 1.4601,                 86.088,                 1.6111,             0.00040285,             0.00040285,             0.00040285
                     10,                0.19371,                 1.1826,                0.96952,                0.60318,                   0.15,                0.15636,                0.09753,                 1.0558,                  7.562,                 1.2153,             0.00044406,             0.00044406,             0.00044406
                     11,                0.21487,                 1.3624,                 0.9614,                0.43613,                    0.7,                0.63216,                0.54872,                0.84724,                 3.4282,                0.89186,             0.00048429,             0.00048429,             0.00048429
                     12,                0.18886,                 1.2175,                0.95366,                0.17822,                   0.75,                0.48621,                0.47122,                0.76643,                 3.9998,                 1.0959,             0.00052352,             0.00052352,             0.00052352
                     13,                0.16616,                 1.2488,                0.94971,                0.47458,                    0.5,                 0.3177,                 0.2811,                0.59864,                 2.3058,                0.84198,             0.00056176,             0.00056176,             0.00056176
                     14,                0.19304,                 1.1366,                0.96348,                0.44507,                   0.75,                0.32764,                0.31586,                0.34985,                 2.3588,                0.50536,             0.00059902,             0.00059902,             0.00059902
                     15,                0.17218,                 1.0968,                0.94785,                 0.3845,                  0.325,                0.28439,                0.20663,                 1.0663,                 2.7168,                 1.0366,             0.00063528,             0.00063528,             0.00063528
                     16,                0.17051,                  1.104,                0.95307,                 0.4563,                   0.75,                0.36195,                  0.235,                0.81434,                 2.5427,                0.95992,             0.00067056,             0.00067056,             0.00067056
                     17,                0.19822,                 1.1546,                0.94224,                0.18056,                0.75686,                0.31617,                0.21717,                0.95262,                 2.5582,                 1.2915,             0.00070484,             0.00070484,             0.00070484
                     18,                0.16689,                0.93401,                0.94785,                0.40869,                 0.4902,                0.25463,                0.14446,                 1.4897,                 3.0085,                 1.9952,             0.00073813,             0.00073813,             0.00073813
                     19,                0.22582,                 1.1257,                0.95137,                0.86797,                    0.2,                 0.1437,                0.06572,                 2.1299,                  4.221,                  2.883,             0.00077044,             0.00077044,             0.00077044
                     20,                 0.1722,                 1.1626,                0.94055,                 0.5454,                    0.1,                0.04241,                0.01932,                 2.0487,                 3.7261,                 2.2954,             0.00080175,             0.00080175,             0.00080175
                     21,                0.17949,                 1.1308,                0.92921,                0.16276,                  0.275,                0.16041,                0.11285,                 2.0371,                 5.1867,                 2.5709,             0.00083208,             0.00083208,             0.00083208
                     22,                0.18064,                 1.1499,                0.91501,                0.38352,                0.46299,                0.18238,                0.13927,                 1.4108,                 4.4822,                 1.8773,             0.00086141,             0.00086141,             0.00086141
                     23,                0.24114,                 1.2125,                0.95927,                0.03705,                    0.5,                0.21893,                 0.1219,                 3.1476,                 3.4304,                 3.2983,             0.00088975,             0.00088975,             0.00088975
                     24,                0.20047,                 1.1292,                0.93766,                0.27734,                0.60036,                0.29657,                0.24986,                 2.1395,                 4.0533,                  2.117,             0.00091711,             0.00091711,             0.00091711
                     25,                0.18928,                 1.1542,                0.93023,                0.32953,                0.83011,                0.51675,                0.34253,                 1.7728,                 4.5087,                 1.5051,             0.00094347,             0.00094347,             0.00094347
                     26,                0.20057,                 1.1777,                0.94375,                0.31559,                      1,                0.57748,                0.54499,                0.56999,                 2.7771,                0.63876,             0.00094062,             0.00094062,             0.00094062
                     27,                 0.1912,                 1.1205,                0.96917,                0.25903,                      1,                0.53778,                0.53414,                0.34949,                 1.8854,                0.50539,             0.00092825,             0.00092825,             0.00092825
                     28,                0.18975,                 1.1035,                0.95317,                0.33054,                0.99888,                0.58187,                0.57248,                0.41356,                  1.679,                0.58415,             0.00091588,             0.00091588,             0.00091588
                     29,                0.17133,                 1.2313,                0.93856,                0.57694,                  0.625,                0.46666,                0.29196,                 1.1977,                 3.3109,                0.89694,              0.0009035,              0.0009035,              0.0009035
                     30,                 0.1844,                 1.1068,                 0.9399,                0.01562,                  0.125,                0.12773,                0.01277,                 4.6311,                 3.9189,                 4.1987,             0.00089112,             0.00089112,             0.00089112
                     31,                0.18308,                 1.0597,                0.93659,                0.74097,                 0.4919,                0.48511,                0.19272,                 2.3457,                 2.6625,                 2.1454,             0.00087875,             0.00087875,             0.00087875
                     32,                0.17457,                 1.0763,                0.93571,                0.59841,                  0.425,                0.33949,                0.27729,                0.80647,                 1.8289,                0.69223,             0.00086637,             0.00086637,             0.00086637
                     33,                0.19289,                 1.1622,                0.92627,                0.45855,                   0.55,                0.35436,                0.32757,                   1.66,                 3.5211,                 1.3225,               0.000854,               0.000854,               0.000854
                     34,                0.17517,                 1.0592,                0.93527,                0.30239,                   0.25,                0.09604,                0.05979,                 3.2477,                 3.7885,                 2.2058,             0.00084162,             0.00084162,             0.00084162
                     35,                0.16992,                 1.0962,                0.89068,                0.61768,                   0.25,                0.41042,                0.09316,                 3.2443,                 3.6356,                 2.3298,             0.00082925,             0.00082925,             0.00082925
                     36,                0.16162,                 1.1894,                0.91533,                0.36503,                  0.175,                0.13375,                0.12781,                 2.9886,                 3.6202,                 2.5545,             0.00081688,             0.00081688,             0.00081688
                     37,                0.15639,                  1.052,                0.92646,                0.42652,                  0.275,                0.22703,                0.18544,                 1.8123,                 3.2992,                 1.2272,              0.0008045,              0.0008045,              0.0008045
                     38,                0.17743,                  1.065,                 0.9261,                0.50786,                0.39967,                0.36489,                0.31103,                 1.2388,                 4.4381,                0.99047,             0.00079213,             0.00079213,             0.00079213
                     39,                 0.2198,                 1.1155,                 1.0068,                0.01368,                  0.725,                 0.1616,                0.14147,                 2.0835,                 9.7606,                 1.6756,             0.00077975,             0.00077975,             0.00077975
                     40,                0.17082,                 1.1079,                0.88383,                0.86867,                   0.15,                0.27243,                0.24249,                0.75795,                 2.7917,                 0.7817,             0.00076738,             0.00076738,             0.00076738
                     41,                0.15239,                0.99089,                0.95363,                0.27061,                0.69586,                0.59343,                0.58671,                0.30802,                 2.2161,                0.40408,               0.000755,               0.000755,               0.000755
                     42,                0.21303,                  1.049,                0.95488,                0.67214,                    0.5,                 0.3826,                 0.3826,                0.25501,                 2.2389,                0.34609,             0.00074263,             0.00074263,             0.00074263
                     43,                0.14175,                 1.0142,                0.90357,                0.63835,                   0.25,                0.33863,                0.18362,                 1.2694,                 2.9955,                 1.0908,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.1648,                 1.1181,                0.91548,                0.88437,                    0.2,                0.40239,                0.13883,                 2.5666,                 3.7843,                 2.4089,             0.00071788,             0.00071788,             0.00071788
                     45,                0.13874,                 1.0267,                0.90616,                0.15675,                0.35091,                0.37586,                0.36381,                0.50087,                 3.0537,                0.58224,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.1325,                 1.0865,                0.89413,                0.68422,                    0.5,                0.38554,                0.36572,                 0.4444,                 1.9419,                  0.568,             0.00069313,             0.00069313,             0.00069313
                     47,                0.16061,                 1.0962,                 0.9066,                0.74465,                    0.5,                0.41732,                0.36474,                 0.4345,                 2.0271,                0.49178,             0.00068075,             0.00068075,             0.00068075
                     48,                0.14969,                 1.0652,                 0.9301,                0.55649,                0.46102,                0.47117,                0.39692,                0.47864,                 2.2589,                0.57848,             0.00066838,             0.00066838,             0.00066838
                     49,                 0.1294,                 1.1193,                0.93453,                0.09021,                      1,                0.32294,                0.30334,                0.39223,                 2.2755,                0.46815,               0.000656,               0.000656,               0.000656
                     50,                0.14236,                 1.0337,                0.90619,                0.39567,                0.59072,                0.36094,                0.31789,                0.85089,                 2.3963,                0.85904,             0.00064362,             0.00064362,             0.00064362
                     51,                0.16106,                 1.0144,                0.94242,                0.92535,                0.23649,                0.33382,                0.31719,                0.69905,                 2.0123,                0.68945,             0.00063125,             0.00063125,             0.00063125
                     52,                0.12082,                0.87003,                0.90901,                0.15504,                0.65296,                0.30151,                0.30151,                0.24233,                 1.5472,                0.35504,             0.00061887,             0.00061887,             0.00061887
                     53,                0.13478,                 0.9715,                0.92001,                0.20708,                0.78449,                0.34269,                0.34269,                0.18144,                 1.8497,                0.27071,              0.0006065,              0.0006065,              0.0006065
                     54,                0.13345,                0.98931,                0.91168,                0.20659,                0.72467,                0.29697,                0.29343,                0.22882,                 1.9653,                0.34874,             0.00059413,             0.00059413,             0.00059413
                     55,                0.12864,                0.92219,                0.92399,                0.27981,                   0.45,                 0.3814,                0.33416,                0.51927,                 2.0117,                0.69618,             0.00058175,             0.00058175,             0.00058175
                     56,                0.11547,                0.94547,                0.88653,                0.24895,                      1,                 0.3381,                0.30902,                0.46047,                 1.8618,                0.74163,             0.00056938,             0.00056938,             0.00056938
                     57,                0.12752,                 0.8336,                0.92667,                0.21175,                0.93554,                0.29858,                0.28615,                0.57407,                 2.0672,                 0.8238,               0.000557,               0.000557,               0.000557
                     58,                0.13261,                0.97519,                0.92252,                0.26178,                0.78179,                 0.3902,                0.36418,                0.46082,                  1.861,                0.70391,             0.00054463,             0.00054463,             0.00054463
                     59,                0.11479,                0.90157,                 0.8908,                 0.1449,                   0.45,                0.31377,                0.25733,                0.81834,                 2.5964,                0.86695,             0.00053225,             0.00053225,             0.00053225
