                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2016,                 3.6198,                 1.6617,                0.90551,                0.24724,                0.26415,                0.21622,                0.81077,                 7.9838,                 1.2351,              0.0002625,              0.0002625,              0.0002625
                      2,                 0.4123,                 1.9759,                 1.1298,                0.42612,                   0.05,                0.07377,                0.03808,                 2.1007,                   5.07,                 1.3971,             0.00053573,             0.00053573,             0.00053573
                      3,                0.32529,                 1.8642,                 1.0619,                 0.4321,                0.48043,                0.36281,                0.28815,                0.88954,                   5.99,                 1.0486,             0.00080714,             0.00080714,             0.00080714
                      4,                 0.3381,                 1.8803,                  1.069,                0.71808,                    0.4,                0.50654,                0.39592,                0.88262,                 14.649,                 1.7258,              0.0010767,              0.0010767,              0.0010767
                      5,                0.33324,                 1.7022,                 1.0438,                0.82694,                0.47748,                0.45055,                0.15411,                 1.6581,                 4.4578,                 1.8359,              0.0012335,              0.0012335,              0.0012335
                      6,                0.39221,                 1.5969,                 1.0927,                0.70772,                0.72393,                0.58987,                0.34966,                 2.2776,                 3.2573,                 2.5431,              0.0012294,              0.0012294,              0.0012294
                      7,                0.36063,                 1.4728,                 1.0339,                0.31677,                  0.175,                0.05564,                0.01779,                 1.7935,                 5.1487,                 1.5538,              0.0012252,              0.0012252,              0.0012252
                      8,                 0.3303,                 1.5368,                 1.0381,                0.16611,                  0.875,                0.31357,                0.24312,                0.80689,                 4.8379,                 1.5436,              0.0012211,              0.0012211,              0.0012211
                      9,                0.31146,                 1.4379,                 1.0269,                 0.3098,                 0.9747,                0.43104,                0.43104,                0.22956,                 1.6986,                0.43764,               0.001217,               0.001217,               0.001217
                     10,                0.28814,                 1.3805,                0.97989,                0.44868,                  0.875,                0.68406,                0.68406,                0.22999,                 1.4797,                0.40528,              0.0012129,              0.0012129,              0.0012129
                     11,                0.28628,                 1.3647,                0.99171,                0.36601,                      1,                0.69534,                0.68701,                0.31931,                 1.3899,                0.52467,              0.0012087,              0.0012087,              0.0012087
                     12,                0.26657,                 1.3798,                 0.9832,                0.69881,                0.44522,                0.30127,                0.28611,                0.52995,                 2.0969,                0.81506,              0.0012046,              0.0012046,              0.0012046
                     13,                0.28293,                 1.3428,                0.97997,                 0.2166,                    0.8,                0.39696,                0.39231,                0.60585,                 2.0648,                0.72063,              0.0012005,              0.0012005,              0.0012005
                     14,                0.22672,                 1.2741,                0.95929,                0.21671,                   0.65,                0.37011,                0.32992,                0.79668,                 1.9275,                0.94616,              0.0011964,              0.0011964,              0.0011964
                     15,                0.24594,                 1.3135,                 1.0071,                0.24849,                      1,                0.54903,                0.54903,                0.25072,                 1.8131,                0.47682,              0.0011922,              0.0011922,              0.0011922
                     16,                0.23639,                  1.237,                0.97279,                0.23376,                      1,                0.50679,                 0.4342,                0.73032,                 1.9233,                0.85523,              0.0011881,              0.0011881,              0.0011881
                     17,                0.22125,                 1.2401,                0.95399,                0.77818,                    0.5,                0.49795,                0.27494,                 1.5465,                  1.824,                 1.5303,               0.001184,               0.001184,               0.001184
