                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.13239,                 1.0157,                0.89698,                 0.2952,                0.90318,                0.37553,                0.30893,                0.50738,                 1.9624,                 1.0043,             0.00081688,             0.00081688,             0.00081688
                     37,                0.12497,                0.80862,                0.91453,                0.58139,                0.56137,                0.41085,                0.41085,                0.34494,                 1.6231,                0.57231,              0.0008045,              0.0008045,              0.0008045
                     38,                0.13731,                0.87076,                0.90118,                0.67412,                0.57994,                 0.5387,                0.53188,                0.31071,                 1.8244,                0.46614,             0.00079213,             0.00079213,             0.00079213
                     39,                0.17489,                 0.9412,                0.98384,                0.23611,                      1,                0.59101,                0.58424,                0.19068,                 1.6008,                0.28504,             0.00077975,             0.00077975,             0.00077975
                     40,                0.12497,                0.83618,                0.86348,                0.74575,                0.48816,                0.47394,                0.46394,                0.22089,                 1.7476,                0.34948,             0.00076738,             0.00076738,             0.00076738
                     41,                0.11721,                0.79965,                0.93778,                0.22115,                      1,                0.39628,                0.38737,                 0.2239,                  1.509,                0.36483,               0.000755,               0.000755,               0.000755
                     42,                0.16176,                0.81847,                0.93076,                0.33026,                0.53478,                0.51094,                 0.4983,                0.33393,                 1.7877,                0.48272,             0.00074263,             0.00074263,             0.00074263
                     43,                0.11653,                0.83217,                0.89373,                0.30463,                0.88258,                0.45371,                0.37291,                0.47098,                 1.7908,                0.75587,             0.00073025,             0.00073025,             0.00073025
                     44,                0.12293,                0.94823,                0.90627,                0.23024,                   0.45,                0.42745,                0.33577,                0.94057,                 2.0409,                 1.2195,             0.00071788,             0.00071788,             0.00071788
                     45,                0.11336,                0.86289,                0.89612,                0.26194,                0.93704,                 0.3989,                0.34281,                0.43383,                  1.615,                0.61408,              0.0007055,              0.0007055,              0.0007055
                     46,                0.10874,                 0.8763,                0.88712,                0.21036,                0.61811,                0.36885,                0.32743,                0.35153,                 1.7298,                0.47574,             0.00069313,             0.00069313,             0.00069313
                     47,                0.11719,                0.93402,                0.89135,                 0.2585,                   0.75,                0.38085,                0.31656,                0.20531,                 1.8075,                0.34794,             0.00068075,             0.00068075,             0.00068075
                     48,                0.12645,                0.79791,                0.92194,                0.40903,                0.57777,                0.54806,                0.29292,                0.43287,                 2.0155,                0.57014,             0.00066838,             0.00066838,             0.00066838
                     49,                0.12422,                0.95375,                0.93342,                0.59087,                0.40027,                0.50616,                0.25804,                0.40129,                 2.1167,                0.50597,               0.000656,               0.000656,               0.000656
                     50,                0.11543,                0.87271,                0.89943,                0.17092,                   0.75,                0.33505,                0.24159,                0.39509,                 1.7863,                0.41932,             0.00064362,             0.00064362,             0.00064362
                     51,                0.13549,                0.89641,                0.93407,                0.27832,                      1,                0.46039,                0.37522,                0.44618,                  1.653,                0.43583,             0.00063125,             0.00063125,             0.00063125
                     52,                0.10146,                0.83604,                0.90406,                0.31212,                  0.875,                0.47323,                0.40905,                0.36101,                 1.6163,                0.37054,             0.00061887,             0.00061887,             0.00061887
                     53,                0.12363,                0.78431,                0.91527,                0.30055,                0.81646,                0.41262,                0.38895,                 0.3795,                 1.7851,                0.36759,              0.0006065,              0.0006065,              0.0006065
                     54,                0.11241,                0.81482,                0.90501,                0.27351,                 0.8986,                0.42097,                0.40978,                0.27664,                 1.5631,                0.30594,             0.00059413,             0.00059413,             0.00059413
                     55,                 0.0949,                0.76285,                0.91413,                0.27245,                   0.75,                0.37913,                0.37913,                0.19569,                 1.6643,                0.26431,             0.00058175,             0.00058175,             0.00058175
                     56,                0.10028,                 0.7139,                0.88282,                0.51173,                    0.5,                0.45195,                0.45195,                0.18441,                  1.651,                0.26169,             0.00056938,             0.00056938,             0.00056938
                     57,                0.10673,                0.65838,                0.91707,                0.38495,                0.72117,                0.50371,                0.50371,                0.19062,                 1.4045,                0.28491,               0.000557,               0.000557,               0.000557
